step,time,loss,acc
4600,2025-08-20T01:53:58.812339,4.896304e-03,1.000000e+00
4650,2025-08-20T01:54:08.467345,4.428130e-02,9.921875e-01
4700,2025-08-20T01:54:18.002376,5.323622e-03,1.000000e+00
4750,2025-08-20T01:54:27.317255,5.078504e-02,9.921875e-01
4800,2025-08-20T01:54:36.633362,2.699055e-03,1.000000e+00
4850,2025-08-20T01:54:45.917384,3.234130e-02,9.921875e-01
4900,2025-08-20T01:54:55.446050,2.913881e-02,9.921875e-01
4950,2025-08-20T01:55:04.978588,1.419874e-02,1.000000e+00
5000,2025-08-20T01:55:14.396160,4.412633e-02,9.921875e-01
5050,2025-08-20T01:57:15.520010,7.694836e-03,1.000000e+00
5100,2025-08-20T01:57:26.709813,3.746436e-02,9.921875e-01
5150,2025-08-20T01:57:37.907690,3.596220e-03,1.000000e+00
5200,2025-08-20T01:57:48.881174,5.016035e-02,9.921875e-01
5250,2025-08-20T01:57:58.957081,6.723274e-02,9.843750e-01
5300,2025-08-20T01:58:09.204624,1.868919e-02,9.921875e-01
5350,2025-08-20T01:58:18.791489,5.143755e-02,9.921875e-01
5400,2025-08-20T01:58:29.366896,6.264159e-03,1.000000e+00
5450,2025-08-20T01:58:39.833323,5.597761e-03,1.000000e+00
5500,2025-08-20T01:58:49.527068,3.143277e-02,9.921875e-01
5550,2025-08-20T02:00:59.526382,3.467856e-02,9.921875e-01
5600,2025-08-20T02:01:09.585340,6.661700e-03,1.000000e+00
5650,2025-08-20T02:01:19.592912,6.985037e-03,1.000000e+00
5700,2025-08-20T02:01:29.474575,1.108387e-01,9.765625e-01
5750,2025-08-20T02:01:39.441488,7.002975e-03,1.000000e+00
5800,2025-08-20T02:01:49.295144,8.738849e-03,1.000000e+00
5850,2025-08-20T02:01:59.615168,1.051673e-02,1.000000e+00
5900,2025-08-20T02:02:10.060963,5.449752e-02,9.843750e-01
5950,2025-08-20T02:02:20.373693,8.301598e-02,9.843750e-01
6000,2025-08-20T02:02:30.754426,9.096459e-03,1.000000e+00
6050,2025-08-20T02:04:38.324840,3.789226e-02,9.921875e-01
6100,2025-08-20T02:04:48.188288,1.582056e-02,1.000000e+00
6150,2025-08-20T02:04:57.908774,6.319583e-03,1.000000e+00
6200,2025-08-20T02:05:07.341891,5.702837e-02,9.921875e-01
6250,2025-08-20T02:05:16.761962,4.782864e-02,9.921875e-01
6300,2025-08-20T02:05:26.305778,4.689917e-03,1.000000e+00
6350,2025-08-20T02:05:36.000550,1.568811e-02,9.921875e-01
6400,2025-08-20T02:05:45.461528,4.906739e-02,9.921875e-01
6450,2025-08-20T02:05:54.882680,7.608833e-03,1.000000e+00
6500,2025-08-20T02:06:04.279267,5.321784e-02,9.921875e-01
6550,2025-08-20T02:07:59.963655,3.736245e-03,1.000000e+00
6600,2025-08-20T02:08:09.495965,1.175769e-01,9.687500e-01
6650,2025-08-20T02:08:19.050939,6.723074e-02,9.843750e-01
6700,2025-08-20T02:08:28.505217,4.962147e-02,9.921875e-01
6750,2025-08-20T02:08:37.866596,2.543859e-03,1.000000e+00
6800,2025-08-20T02:08:47.197888,6.389431e-02,9.921875e-01
6850,2025-08-20T02:08:56.725626,9.674621e-03,1.000000e+00
6900,2025-08-20T02:09:06.328545,4.106436e-02,9.921875e-01
6950,2025-08-20T02:09:16.235386,4.879981e-02,9.921875e-01
7000,2025-08-20T02:09:25.768455,2.596753e-02,9.921875e-01
7050,2025-08-20T02:11:21.747040,2.218699e-02,9.921875e-01
7100,2025-08-20T02:11:31.207243,1.719316e-02,1.000000e+00
7150,2025-08-20T02:11:40.796214,4.129509e-02,9.921875e-01
